question,expected_region,file,question_type,domain,category,top_score,max_score,average_score,num_results
What is the most common dish in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Food,0.8689,0.8689,0.821,5
What is the most common sweet in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Food,0.8599,0.8599,0.7725,5
What is the common traditional street food in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Food,0.8326,0.8326,0.7723,5
What is the most common breakfast dish in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Food,0.8266,0.8266,0.7993,5
What is the common traditional drink in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Food,0.8308,0.8308,0.732,5
What is the traditional clothing for men in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Clothes,0.8704,0.8704,0.8133,5
What is the traditional clothing for women in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Clothes,0.8745,0.8745,0.8072,5
What is the traditional breakfast dish during Eid in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Celebration,0.8699,0.8699,0.7706,5
What are the common traditional dances in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Celebration,0.8684,0.8684,0.7833,5
What is the common traditional music in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Entertainment,0.8784,0.8784,0.7943,5
What is the common traditional craft in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Crafts and Work,0.8494,0.8494,0.7863,5
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Dating,0.7589,0.7589,0.6582,5
What is the average amount of dowry presented to the wife in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Common,Dating,0.8574,0.8574,0.6387,5
What is the traditional winter dish made from dates and brown bread in Al-Qassim?,Central,CENTERAL.csv,Open-ended,Specialized,Food,0.8477,0.8477,0.661,5
What is the main traditional sweet in the Al-Qassim region?,Central,CENTERAL.csv,Open-ended,Specialized,Food,0.8609,0.8609,0.7482,5
"What is the name of the traditional Saudi food made from dried yogurt, shaped into white solid pieces?",Central,CENTERAL.csv,Open-ended,Specialized,Food,0.8734,0.8734,0.7196,5
In which region of Saudi Arabia is “Al-Marqooq” considered a regional dish?,Central,CENTERAL.csv,Open-ended,Specialized,Food,0.926,0.926,0.841,5
In which region of Saudi Arabia is “Al-Marasee’” a main traditional dish?,Central,CENTERAL.csv,Open-ended,Specialized,Food,0.8783,0.8783,0.7918,5
What areas in central Saudi Arabia were historically known for making jewelry?,Central,CENTERAL.csv,Open-ended,Specialized,Crafts and Work,0.9059,0.9059,0.7808,5
How many stages does the process of producing oud oil in Saudi Arabia go through?,Central,CENTERAL.csv,Open-ended,Specialized,Crafts and Work,0.8748,0.8748,0.6083,5
What is “Al-Kummar” in the context of traditional Najdi houses in Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Specialized,Architecture,0.7596,0.7596,0.658,5
What is “Al-Liwan” in traditional Najdi houses in Riyadh?,Central,CENTERAL.csv,Open-ended,Specialized,Architecture,0.8467,0.8467,0.6786,5
What are the traditional architectural styles in the Al-Qassim region?,Central,CENTERAL.csv,Open-ended,Specialized,Architecture,0.8117,0.8117,0.6666,5
How many rows are formed in the Saudi Ardah dance?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8506,0.8506,0.7463,5
In which musical mode are most Saudi Ardah poems composed and performed?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8735,0.8735,0.7226,5
Where do people in Riyadh usually go when the weather turns cold?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8495,0.8495,0.5985,5
What is the name given to a single strike of the large drum in the Saudi Ardah dance?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8319,0.8319,0.691,5
What does the term “Al-Ta’leelah” refer to in Saudi culture?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8063,0.8063,0.6373,5
What is the name of the famous festival in Riyadh for arts and crafts?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8378,0.8378,0.6506,5
Where is the “Al-La’ybouli” dance popular in Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Specialized,Entertainment,0.8974,0.8974,0.7828,5
What are the most common welcoming phrases in Central Saudi Arabia?,Central,CENTERAL.csv,Open-ended,Specialized,Languages and Communication,0.8689,0.8689,0.688,5
What is the most common dish in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Food,0.8689,0.8689,0.821,5
What is the most popular sweet in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Food,0.8594,0.8594,0.7598,5
What is the most common traditional street food in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Food,0.8443,0.8443,0.7822,5
What is the most common breakfast dish in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Food,0.8266,0.8266,0.7993,5
What is the most common traditional drink in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Food,0.8294,0.8294,0.7427,5
What is the traditional breakfast dish during Eid-al-Fitr in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Celebration,0.8893,0.8893,0.7859,5
What are the common traditional dances in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Celebration,0.8684,0.8684,0.7833,5
What is the traditional clothing for women in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Clothes,0.8745,0.8745,0.8072,5
What is the traditional clothing for men in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Clothes,0.8704,0.8704,0.8133,5
What is the common traditional music in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Entertainment,0.8784,0.8784,0.7943,5
What is the common traditional craft in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Crafts and Work,0.8494,0.8494,0.7863,5
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Dating,0.7589,0.7589,0.6582,5
What is the average amount of dowry presented to the wife in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Common,Dating,0.8574,0.8574,0.6387,5
What is the traditional winter dish made from dates and brown bread in Al-Qassim?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.8477,0.8477,0.661,5
What is the main traditional sweet in the Al-Qassim region?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.8609,0.8609,0.7482,5
"What is the traditional Saudi food made from dried yogurt, shaped into white solid pieces?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.8731,0.8731,0.7092,5
"In which region of Saudi Arabia is ""Al-Marqooq"" considered a traditional dish?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.9169,0.9169,0.8072,5
"In which region of Saudi Arabia is ""Al-Marasee’"" a main traditional dish?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.8833,0.8833,0.7996,5
What areas in central Saudi Arabia were historically known for making jewelry?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Crafts and Work,0.9059,0.9059,0.7808,5
How many stages are involved in oud oil production in Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Crafts and Work,0.8756,0.8756,0.6309,5
"What is ""Al-Kummar"" in traditional Najdi houses in Saudi Arabia?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Architecture,0.7637,0.7637,0.6686,5
"What is ""Al-Liwan"" in traditional Najdi houses in Riyadh?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Architecture,0.8429,0.8429,0.676,5
What describes traditional building styles in Al-Qassim?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Architecture,0.7639,0.7639,0.6204,5
How many rows are formed in the Saudi Ardah dance?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8506,0.8506,0.7463,5
In which musical mode are most Saudi Ardah poems composed and performed?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8735,0.8735,0.7226,5
