question,region,score_1,score_2,score_3,score_4,score_5
What is the most common dish in Central Saudi Arabia?,Central,0.8689,0.8579,0.7935,0.7932,0.7915
What is the most common sweet in Central Saudi Arabia?,Central,0.8599,0.8585,0.7217,0.7161,0.7062
What is the common traditional street food in Central Saudi Arabia?,Central,0.8326,0.8213,0.7455,0.7319,0.7301
What is the most common breakfast dish in Central Saudi Arabia?,Central,0.8266,0.8249,0.7928,0.7763,0.7759
What is the common traditional drink in Central Saudi Arabia?,Central,0.8308,0.808,0.6762,0.6745,0.6704
What is the traditional clothing for men in Central Saudi Arabia?,Central,0.8704,0.8568,0.8365,0.8325,0.6702
What is the traditional clothing for women in Central Saudi Arabia?,Central,0.8745,0.8701,0.8236,0.8046,0.6632
What is the traditional breakfast dish during Eid in Central Saudi Arabia?,Central,0.8699,0.8697,0.7301,0.7203,0.6632
What are the common traditional dances in Central Saudi Arabia?,Central,0.8684,0.8644,0.7301,0.7287,0.7248
What is the common traditional music in Central Saudi Arabia?,Central,0.8784,0.8741,0.7674,0.7579,0.6938
What is the common traditional craft in Central Saudi Arabia?,Central,0.8494,0.847,0.7767,0.732,0.7263
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,Central,0.7589,0.7572,0.605,0.6015,0.5683
What is the average amount of dowry presented to the wife in Central Saudi Arabia?,Central,0.8574,0.8483,0.5179,0.4983,0.4717
What is the traditional winter dish made from dates and brown bread in Al-Qassim?,Central,0.8477,0.8471,0.5421,0.5364,0.5318
What is the main traditional sweet in the Al-Qassim region?,Central,0.8609,0.855,0.6969,0.6875,0.6408
"What is the name of the traditional Saudi food made from dried yogurt, shaped into white solid pieces?",Central,0.8734,0.8732,0.6221,0.6153,0.6138
In which region of Saudi Arabia is “Al-Marqooq” considered a regional dish?,Central,0.926,0.9136,0.8208,0.8173,0.7276
In which region of Saudi Arabia is “Al-Marasee’” a main traditional dish?,Central,0.8783,0.8654,0.787,0.7402,0.6881
What areas in central Saudi Arabia were historically known for making jewelry?,Central,0.9059,0.9045,0.7146,0.6947,0.6841
How many stages does the process of producing oud oil in Saudi Arabia go through?,Central,0.8748,0.8354,0.4547,0.4484,0.4282
What is “Al-Kummar” in the context of traditional Najdi houses in Saudi Arabia?,Central,0.7596,0.7285,0.632,0.6307,0.5393
What is “Al-Liwan” in traditional Najdi houses in Riyadh?,Central,0.8467,0.8425,0.596,0.588,0.5197
What are the traditional architectural styles in the Al-Qassim region?,Central,0.8117,0.7638,0.589,0.5886,0.5801
How many rows are formed in the Saudi Ardah dance?,Central,0.8506,0.8388,0.6913,0.6851,0.6658
In which musical mode are most Saudi Ardah poems composed and performed?,Central,0.8735,0.8529,0.6614,0.629,0.5963
Where do people in Riyadh usually go when the weather turns cold?,Central,0.8495,0.8471,0.4374,0.4298,0.4284
What is the name given to a single strike of the large drum in the Saudi Ardah dance?,Central,0.8319,0.807,0.6194,0.6095,0.5872
What does the term “Al-Ta’leelah” refer to in Saudi culture?,Central,0.8063,0.7992,0.5497,0.5238,0.5074
What is the name of the famous festival in Riyadh for arts and crafts?,Central,0.8378,0.8335,0.5371,0.5298,0.5146
Where is the “Al-La’ybouli” dance popular in Saudi Arabia?,Central,0.8974,0.8859,0.7175,0.7084,0.7048
What are the most common welcoming phrases in Central Saudi Arabia?,Central,0.8689,0.8682,0.5723,0.5719,0.5589
